ID number,q0,q1,q2,q3,q4
167,2.0,35.0,4.0,,17.0
168,1.0,57.0,4.0,12.0,
169,2.0,27.0,5.0,,6.0
170,2.0,62.0,4.0,,22.0
171,2.0,52.0,4.0,13.0,
172,2.0,30.0,4.0,4.0,
173,1.0,37.0,4.0,8.0,
174,1.0,35.0,1.0,,15.0
175,1.0,26.0,2.0,,9.0
176,2.0,37.0,4.0,12.0,
177,2.0,43.0,4.0,12.0,
178,2.0,36.0,4.0,,18.0
179,2.0,19.0,1.0,6.0,
180,1.0,25.0,2.0,21.0,
181,1.0,49.0,1.0,,11.0
182,2.0,58.0,4.0,9.0,
183,1.0,38.0,4.0,,17.0
184,1.0,49.0,4.0,,18.0
185,2.0,64.0,4.0,,9.0
186,2.0,55.0,4.0,,15.0
187,2.0,21.0,3.0,,9.0
188,2.0,56.0,1.0,,14.0
189,2.0,59.0,1.0,,7.0
190,1.0,52.0,4.0,,9.0
191,2.0,50.0,1.0,8.0,
192,2.0,32.0,1.0,,4.0
193,1.0,49.0,4.0,12.0,
194,2.0,62.0,5.0,21.0,
195,1.0,61.0,4.0,12.0,
196,1.0,51.0,1.0,,8.0
197,2.0,35.0,1.0,4.0,
198,2.0,29.0,3.0,,10.0
199,2.0,40.0,4.0,21.0,
